EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA,CREATED_AT
Barcelona,11,10,0,1,37,10,27,30,ESPAÑA,2024-11-01
Real Madrid,11,7,3,1,21,11,10,24,ESPAÑA,2024-11-01
Villarreal,11,6,3,2,20,19,1,21,ESPAÑA,2024-11-01
Atlético Madrid,11,5,5,1,16,7,9,20,ESPAÑA,2024-11-01
Athletic Club,11,5,3,3,17,11,6,18,ESPAÑA,2024-11-01
Real Betis,11,5,3,3,11,9,2,18,ESPAÑA,2024-11-01
Mallorca,11,5,3,3,10,8,2,18,ESPAÑA,2024-11-01
Osasuna,11,5,3,3,16,16,0,18,ESPAÑA,2024-11-01
Rayo Vallecano,11,4,4,3,12,10,2,16,ESPAÑA,2024-11-01
Sevilla FC,11,4,3,4,12,15,-3,15,ESPAÑA,2024-11-01
Celta Vigo,11,4,1,6,17,20,-3,13,ESPAÑA,2024-11-01
Real Sociedad,11,3,3,5,8,10,-2,12,ESPAÑA,2024-11-01
Girona,11,3,3,5,11,14,-3,12,ESPAÑA,2024-11-01
anésLeganés,11,2,5,4,9,12,-3,11,ESPAÑA,2024-11-01
Getafe,11,1,7,3,8,9,-1,10,ESPAÑA,2024-11-01
Alavés,11,3,1,7,13,19,-6,10,ESPAÑA,2024-11-01
Espanyol,11,3,1,7,10,19,-9,10,ESPAÑA,2024-11-01
Las Palmas,11,2,3,6,13,19,-6,9,ESPAÑA,2024-11-01
Real Valladolid,11,2,2,7,9,23,-14,8,ESPAÑA,2024-11-01
Valencia,11,1,4,6,8,17,-9,7,ESPAÑA,2024-11-01
Manchester City,9,7,2,0,20,9,11,23,INGLATERRA,2024-11-01
Liverpool,9,7,1,1,17,5,12,22,INGLATERRA,2024-11-01
Arsenal,9,5,3,1,17,10,7,18,INGLATERRA,2024-11-01
Aston Villa,9,5,3,1,16,11,5,18,INGLATERRA,2024-11-01
Chelsea,9,5,2,2,19,11,8,17,INGLATERRA,2024-11-01
Brighton & Hove Albion,9,4,4,1,16,12,4,16,INGLATERRA,2024-11-01
Nottingham Forest,9,4,4,1,11,7,4,16,INGLATERRA,2024-11-01
Tottenham Hotspur,9,4,1,4,18,10,8,13,INGLATERRA,2024-11-01
Brentford,9,4,1,4,18,18,0,13,INGLATERRA,2024-11-01
Fulham,9,3,3,3,12,12,0,12,INGLATERRA,2024-11-01
AFC Bournemouth,9,3,3,3,11,11,0,12,INGLATERRA,2024-11-01
Newcastle United,9,3,3,3,9,10,-1,12,INGLATERRA,2024-11-01
West Ham United,9,3,2,4,13,16,-3,11,INGLATERRA,2024-11-01
Manchester United,9,3,2,4,8,11,-3,11,INGLATERRA,2024-11-01
Leicester City,9,2,3,4,13,17,-4,9,INGLATERRA,2024-11-01
Everton,9,2,3,4,10,16,-6,9,INGLATERRA,2024-11-01
Crystal Palace,9,1,3,5,6,11,-5,6,INGLATERRA,2024-11-01
Ipswich Town,9,0,4,5,9,20,-11,4,INGLATERRA,2024-11-01
Wolverhampton Wanderers,9,0,2,7,12,25,-13,2,INGLATERRA,2024-11-01
Southampton,9,0,1,8,6,19,-13,1,INGLATERRA,2024-11-01
Napoli,10,8,1,1,18,5,13,25,ITALIA,2024-11-01
Internazionale,10,6,3,1,24,13,11,21,ITALIA,2024-11-01
Atalanta,10,6,1,3,26,14,12,19,ITALIA,2024-11-01
Fiorentina,10,5,4,1,21,9,12,19,ITALIA,2024-11-01
Lazio,10,6,1,3,22,13,9,19,ITALIA,2024-11-01
Juventus,10,4,6,0,17,7,10,18,ITALIA,2024-11-01
Udinese,10,5,1,4,14,14,0,16,ITALIA,2024-11-01
AC Milan,9,4,2,3,16,11,5,14,ITALIA,2024-11-01
Torino,10,4,2,4,15,15,0,14,ITALIA,2024-11-01
AS Roma,10,3,4,3,10,11,-1,13,ITALIA,2024-11-01
Bolonia,9,2,6,1,11,11,0,12,ITALIA,2024-11-01
Empoli,10,2,5,3,7,9,-2,11,ITALIA,2024-11-01
Parma,10,1,6,3,14,16,-2,9,ITALIA,2024-11-01
Hellas Verona,10,3,0,7,13,22,-9,9,ITALIA,2024-11-01
OComo,10,2,3,5,12,21,-9,9,ITALIA,2024-11-01
Cagliari,10,2,3,5,8,17,-9,9,ITALIA,2024-11-01
Monza,10,1,5,4,10,13,-3,8,ITALIA,2024-11-01
Venezia,10,2,2,6,10,18,-8,8,ITALIA,2024-11-01
Lecce,10,2,2,6,4,19,-15,8,ITALIA,2024-11-01
Génova,10,1,3,6,7,21,-14,6,ITALIA,2024-11-01
Bayern Munich,8,6,2,0,29,7,22,20,GERMANY,2024-11-01
RB Leipzig,8,6,2,0,14,3,11,20,GERMANY,2024-11-01
Bayer Leverkusen,8,4,3,1,20,15,5,15,GERMANY,2024-11-01
1. FC Union Berlin,8,4,3,1,9,5,4,15,GERMANY,2024-11-01
SC Freiburg,8,5,0,3,13,11,2,15,GERMANY,2024-11-01
Eintracht Frankfurt,8,4,2,2,16,12,4,14,GERMANY,2024-11-01
Borussia Dortmund,8,4,1,3,15,14,1,13,GERMANY,2024-11-01
VfB Stuttgart,8,3,3,2,17,16,1,12,GERMANY,2024-11-01
Werder Bremen,8,3,3,2,14,16,-2,12,GERMANY,2024-11-01
1. FC Heidenheim 1846,8,3,1,4,12,11,1,10,GERMANY,2024-11-01
Borussia Monchengladbach,8,3,1,4,11,13,-2,10,GERMANY,2024-11-01
F. C. Augsburgo,8,3,1,4,12,19,-7,10,GERMANY,2024-11-01
Mainz,8,2,3,3,12,13,-1,9,GERMANY,2024-11-01
VfL Wolfsburg,8,2,2,4,15,16,-1,8,GERMANY,2024-11-01
TSG Hoffenheim,8,2,2,4,13,17,-4,8,GERMANY,2024-11-01
St Pauli,8,1,2,5,5,11,-6,5,GERMANY,2024-11-01
Holstein Kiel,8,0,2,6,10,23,-13,2,GERMANY,2024-11-01
VfL Bochum,8,0,1,7,7,22,-15,1,GERMANY,2024-11-01
Paris Saint-Germain,9,7,2,0,28,8,20,23,FRANCIA,2024-11-01
AS Mónaco,9,6,2,1,15,6,9,20,FRANCIA,2024-11-01
Marseille,9,5,2,2,21,11,10,17,FRANCIA,2024-11-01
LLille,9,5,2,2,15,8,7,17,FRANCIA,2024-11-01
Lens,9,3,5,1,9,6,3,14,FRANCIA,2024-11-01
MStade de Reims,9,4,2,3,16,14,2,14,FRANCIA,2024-11-01
NLyon,9,4,2,3,16,14,2,14,FRANCIA,2024-11-01
ENice,9,3,4,2,18,9,9,13,FRANCIA,2024-11-01
Strasbourg,9,3,4,2,19,17,2,13,FRANCIA,2024-11-01
Brest,9,4,1,4,13,15,-2,13,FRANCIA,2024-11-01
Stade Rennais,9,3,2,4,13,12,1,11,FRANCIA,2024-11-01
Nantes,9,2,4,3,11,12,-1,10,FRANCIA,2024-11-01
AJ Auxerre,9,3,1,5,13,18,-5,10,FRANCIA,2024-11-01
Toulouse,9,2,3,4,10,11,-1,9,FRANCIA,2024-11-01
Angers,9,1,4,4,10,16,-6,7,FRANCIA,2024-11-01
ESaint-Etienne,9,2,1,6,8,24,-16,7,FRANCIA,2024-11-01
Havre ACLe Havre AC,9,2,0,7,7,20,-13,6,FRANCIA,2024-11-01
Montpellier,9,1,1,7,8,29,-21,4,FRANCIA,2024-11-01
Sporting CP,9,9,0,0,30,2,28,27,PORTUGAL,2024-11-01
FC Porto,9,8,0,1,23,4,19,24,PORTUGAL,2024-11-01
Benfica,8,6,1,1,22,5,17,19,PORTUGAL,2024-11-01
Santa Clara,9,6,0,3,13,10,3,18,PORTUGAL,2024-11-01
GBraga,9,5,2,2,15,6,9,17,PORTUGAL,2024-11-01
Guimaraes,9,4,3,2,11,10,1,15,PORTUGAL,2024-11-01
Moreirense,9,4,2,3,12,11,1,14,PORTUGAL,2024-11-01
FC Famalicao,9,3,4,2,9,7,2,13,PORTUGAL,2024-11-01
Casa Pia,9,3,2,4,7,11,-4,11,PORTUGAL,2024-11-01
CGil Vicente,9,2,4,3,11,14,-3,10,PORTUGAL,2024-11-01
Estoril,9,2,3,4,8,12,-4,9,PORTUGAL,2024-11-01
AVS,9,2,3,4,7,16,-9,9,PORTUGAL,2024-11-01
Rio Ave,9,2,2,5,6,18,-12,8,PORTUGAL,2024-11-01
Arouca,9,2,1,6,5,17,-12,7,PORTUGAL,2024-11-01
Boavista,9,1,3,5,5,12,-7,6,PORTUGAL,2024-11-01
Estrela,9,1,3,5,7,15,-8,6,PORTUGAL,2024-11-01
C.D. Nacional,8,1,2,5,4,13,-9,5,PORTUGAL,2024-11-01
SC Farense,9,1,1,7,3,15,-12,4,PORTUGAL,2024-11-01
PSV Eindhoven,10,10,0,0,35,6,29,30,HOLANDA,2024-11-01
XAjax Amsterdam,9,7,1,1,20,7,13,22,HOLANDA,2024-11-01
FC Utrecht,9,7,1,1,15,10,5,22,HOLANDA,2024-11-01
Feyenoord Rotterdam,10,5,4,1,21,10,11,19,HOLANDA,2024-11-01
FC Twente,10,5,3,2,21,9,12,18,HOLANDA,2024-11-01
Z Alkmaar,10,5,2,3,20,9,11,17,HOLANDA,2024-11-01
NAC Breda,10,5,0,5,12,16,-4,15,HOLANDA,2024-11-01
AheadGo Ahead Eagles,10,4,2,4,13,17,-4,14,HOLANDA,2024-11-01
tunaFortuna Sittard,10,4,2,4,9,13,-4,14,HOLANDA,2024-11-01
Willem II,10,3,3,4,11,10,1,12,HOLANDA,2024-11-01
RotterdamSparta Rotterdam,10,2,5,3,11,13,-2,11,HOLANDA,2024-11-01
Heerenveen,10,3,2,5,12,20,-8,11,HOLANDA,2024-11-01
NEC Nijmegen,10,3,1,6,10,10,0,10,HOLANDA,2024-11-01
FC Groningen,10,2,3,5,11,13,-2,9,HOLANDA,2024-11-01
Heracles Almelo,10,2,3,5,10,22,-12,9,HOLANDA,2024-11-01
PEC Zwolle,10,2,2,6,9,19,-10,8,HOLANDA,2024-11-01
ere CityAlmere City,10,1,3,6,5,21,-16,6,HOLANDA,2024-11-01
RKC Waalwijk,10,0,1,9,8,28,-20,1,HOLANDA,2024-11-01
